,IB-industry,IB-longName,IB-marketName,IB-ISIN,IB-Symbol
5652,"Consumer, Non-cyclical",CLOROX COMPANY,XETRA,US1890541097,CXX
5653,Basic Materials,CRADLE RESOURCES LTD,CXX,AU000000CXX3,CXX
5654,"Consumer, Non-cyclical",CRAFT BREW ALLIANCE INC,BREW,US2241221017,BREW
5655,"Consumer, Non-cyclical",CRAMO OYJ,RAON,FI4000384243,RAON
5656,Energy,CREW ENERGY INC,CR,CA2265331074,CR
5657,Industrial,CRANE HOLDINGS CO,CR,US2244411052,CR
5658,Technology,CRANEWARE PLC,ASQ1,GB00B2425G68,CRW
5659,Communications,CASHREWARDS LTD,CRW,AU0000116816,CRW
5660,"Consumer, Non-cyclical",CRANSWICK PLC,STMM,GB0002318888,CWK
5661,Financial,CUSHMAN & WAKEFIELD PLC,CWK,GB00BFZ4N465,CWK
5662,Basic Materials,CRATER GOLD MINING LTD,CGN,AU000000CGN9,CGN
5663,"Consumer, Non-cyclical",CIGNA CORP,XETRA,US1255231003,CGN
5664,"Consumer, Non-cyclical",COGNETIVITY NEUROSCIENCES LT,CGN,CA19243C1005,CGN
5665,"Consumer, Non-cyclical",BEST WORLD INTERNATIONAL LTD,CGN,SG1DG3000004,CGN
5666,Financial,CRAVEN HOUSE CAPITAL PLC,ASQ1,GB00BD4FQ360,CRV
5667,Technology,CRAY INC,CRAY,US2252233042,CRAY
5668,Financial,CRAZY WOMAN CREEK BANCORP,CURRENT,US2252331051,CRZY
5669,Industrial,ORIENTAL SHIRAISHI CORP,1786,JP3197950003,1786
5670,Industrial,CRCC HIGH-TECH EQUIPMENT C-H,1786,CNE1000023F1,1786
5671,"Consumer, Cyclical",SMALL AND MEDIUM SIZED ENTER,1757,JP3236100008,1757
5672,Industrial,AFFLUENT FOUNDATION HOLDINGS,1757,KYG013071009,1757
5673,Technology,CREALOGIX HOLDING AG-REG,CLXN,CH0011115703,CLXN
5674,Financial,HYAKUGO BANK LTD/THE,8368,JP3793800008,8368
5675,"Consumer, Cyclical",CREATIVE CHINA HOLDINGS LTD,8368,KYG2562P1292,8368
5676,"Consumer, Non-cyclical",CREATIVE EDGE NUTRITION INC,FITX,US22528W2052,FITX
5677,Technology,NEEDS WELL INC,3992,JP3654100001,3992
5678,Financial,CREATIVE ENTERPRISE HOLDINGS,3992,KYG251801034,3992
5679,Communications,CREATIVE EYE LTD,CREATIVEY,INE230B01021,CREATIVEY
5680,"Consumer, Non-cyclical",CREATIVE LEARNING CORP,CURRENT,US22529R1068,CLCN
5681,"Consumer, Cyclical",CREATIVE REALITIES INC,SCM,US22530J2006,CREX
5682,Technology,CREATIVE TECHNOLOGY LTD,CREAF,SG1A98006814,CREAF
5683,Communications,CREDIBLE LABS INC-CDI,CRD,AU000000CRD7,CRD
5684,Financial,CREDIT ACCEPTANCE CORP,NMS,US2253101016,CACC
5685,,LYXOR CAC 40,CACC,FR0013380607,CACC
5686,Financial,CREDIT AGRICOLE SA,ACA1,FR0000045072,ACA1
5687,Financial,CREDIT BANK OF MOSCOW PJSC,CBOM,RU000A0JUG31,CBOM
5688,Financial,CREDIT SAISON CO LTD,8253,JP3271400008,8253
5689,,CREDIT SUISSE ASSET MGMT INC,CIK,US2249161066,CIK
5690,Financial,CREDIT SUISSE GROUP-SPON ADR,CS,US2254011081,CS
5691,Financial,AXA SA,CS,FR0000120628,CS
5692,Basic Materials,CAPSTONE COPPER CORP,CS,CA14071L1085,CS
5693,Financial,COINSHARES INTERNATIONAL LTD,CS,JE00BLD8Y945,CS
5694,Financial,CREDITACCESS GRAMEEN LTD,CREDITACC,INE741K01010,CREDITACC
5695,Diversified,CREDNOLOGY HOLDING CORP,COHO,US22547L1070,COHO
5696,"Consumer, Non-cyclical",COHO COLLECTIVE KITCHENS INC,COHO,CA19249T1075,COHO
5697,"Consumer, Non-cyclical",CREEK & RIVER CO LTD,4763,JP3269700005,4763
5698,Technology,CREEPY JAR SA,CRJ,PLCRPJR00019,CRJ
5699,Technology,CREO CO LTD,9698,JP3271000006,9698
5700,Communications,GDS HOLDINGS LTD-CL A,9698,KYG3902L1095,9698
5701,"Consumer, Non-cyclical",CREO MEDICAL GROUP PLC,ASQ1,GB00BZ1BLL44,CREO
5702,Technology,CITRIX SYSTEMS INC,XETRA,US1773761002,CTX
5703,"Consumer, Non-cyclical",CRESCITA THERAPEUTICS INC,CTX,CA2258471028,CTX
5704,"Consumer, Non-cyclical",CAPTOR THERAPEUTICS SA,CTX,PLCPTRT00014,CTX
5705,Technology,CRESCO LTD,4674,JP3271100004,4674
5706,"Consumer, Cyclical",CREST NICHOLSON HOLDINGS,STMM,GB00B8VZXT93,CRST
5707,Financial,COIMA RES SPA,CRES,IT0005136681,CRES
5708,Basic Materials,CREST RESOURCES INC/CA,CRES,CA22608C1032,CRES
5709,Diversified,CITIUS RESOURCES PLC,SSQ3,GB00BMGRFP88,CRES
5710,Industrial,CREST VENTURES LTD,CREST,INE559D01011,CREST
5711,"Consumer, Non-cyclical",CRESTEC INC,7812,JP3271150009,7812
5712,Energy,CRESTON RESOURCES LTD,CSTJ,US2262701061,CSTJ
5713,Energy,CRESTWOOD EQUITY PARTNERS LP,CEQP,US2263442087,CEQP
5714,Energy,CREW ENERGY INC,CURRENT,CA2265331074,CWEGF
5715,Communications,CREXENDO INC,SCM,US2265521078,CXDO
5716,Financial,CREXUS INVESTMENT CORP,CXS,US2265531051,CXS
5717,"Consumer, Non-cyclical",CRH MEDICAL CORP,CRHM,CA12626F1053,CRHM
5718,Industrial,CRH PLC-SPONSORED ADR,CRH,US12626K2033,CRH
5719,Industrial,CRH PLC,SET1,IE0001827041,CRH
5720,"Consumer, Non-cyclical",CRH MEDICAL CORP,CRH,CA12626F1053,CRH
5721,Technology,CRI MIDDLEWARE CO LTD,3698,JP3346050002,3698
5722,Financial,HUISHANG BANK CORP LTD-H,3698,CNE100001QP7,3698
5723,"Consumer, Non-cyclical",CRIMSON WINE GROUP LTD,CURRENT,US22662X1000,CWGL
5724,"Consumer, Non-cyclical",CRINETICS PHARMACEUTICALS IN,NMS,US22663K1079,CRNX
5725,"Consumer, Non-cyclical",CRISIL LTD,CRISIL,INE007A01025,CRISIL
5726,"Consumer, Non-cyclical",CRISPR THERAPEUTICS AG,NMS,CH0334081137,CRSP
5727,Basic Materials,CRITICAL ELEMENTS LITHIUM CO,CRE,CA22675W1077,CRE
5728,Financial,CONDUIT HOLDINGS LTD,SSMU,BMG243851091,CRE
5729,Technology,CERNER CORP,CRE,US1567821046,CRE
5730,Industrial,CRITICAL SOLUTIONS INC,CURRENT,US22675T1043,CSLI
5731,"Consumer, Cyclical",CROCS INC,NMS,US2270461096,CROX
5732,Basic Materials,CRODA INTERNATIONAL PLC,SET1,GB00BJFFLV09,CRDA
5733,Financial,CROGHAN BANCSHARES INC,PREMQX,US2270721051,CHBH
5734,"Consumer, Cyclical",CROMPTON GREAVES CONSUMER EL,CROMPTON,INE299U01018,CROMPTON
5735,Financial,CROMWELL PROPERTY GROUP,CMW,AU000000CMW8,CMW
5736,Industrial,CHINA COMMUNICATIONS SERVI-H,XETRA,CNE1000002G3,CMW
5737,"Consumer, Non-cyclical",CRONOS GROUP INC,CRON,CA22717L1013,CRON
5738,Communications,CROPS CORP,9428,JP3273100002,9428
5739,Energy,CROSS BORDER RESOURCES INC,NOINFO,US2274431087,XBOR
5740,Financial,CROSS CLICK MEDIA INC,XCLK,US2274621083,XCLK
5741,"Consumer, Non-cyclical",CROSS COUNTRY HEALTHCARE INC,NMS,US2274831047,CCRN
5742,Communications,CROSS MARKETING GROUP INC,3675,JP3272760004,3675
5743,Energy,CROSS TIMBERS ROYALTY TRUST,CRT,US22757R1095,CRT
5744,Energy,CROSSAMERICA PARTNERS LP,CAPL,US22758A1051,CAPL
5745,"Consumer, Cyclical",CROSSFOR CO LTD,7810,JP3272650007,7810
5746,Financial,CROSSROADS IMPACT CORP,PRIMQX,US22766K1034,CRSS
5747,,SPDR MSCI ACWI EX-US,CWI,US78463X8487,CWI
5748,Financial,CROSSWINDS HOLDINGS INC,CWI,CA2276962008,CWI
5749,Communications,CROWDGATHER INC,LIMITED,US22787P1075,CRWG
5750,Technology,CROWDSTRIKE HOLDINGS INC - A,NMS,US22788C1053,CRWD
5751,Communications,CROWDWORKS INC,3900,JP3267900003,3900
5752,Financial,GREENTOWN CHINA HOLDINGS,3900,KYG4100M1050,3900
5753,Financial,CROWN BAUS CAPITAL CORP,NOINFO,US22821R1014,CBCA
5754,Financial,CROWN CAPITAL PARTNERS INC,CRWN,CA22821L1040,CRWN
5755,Communications,CROWN MEDIA HOLDINGS-CLASS A,CRWN,US2284111042,CRWN
5756,Financial,CROWN CASTLE INTL CORP,CCI,US22822V1017,CCI
5757,Industrial,CIRCOR INTERNATIONAL INC,XETRA,US17273K1097,CCI
5758,"Consumer, Cyclical",CROWN CRAFTS INC,SCM,US2283091005,CRWS
5759,Communications,CROWN EQUITY HOLDINGS INC,CURRENT,US22834M3051,CRWE
5760,Industrial,CROWN HOLDINGS INC,CCK,US2283681060,CCK
5761,Energy,CROWN POINT ENERGY INC,CURRENT,CA2284622065,CWVLF
5762,"Consumer, Cyclical",CROWN RESORTS LTD,CWN,AU000000CWN6,CWN
5763,Industrial,CROWN HOLDINGS INC,XETRA,US2283681060,CWN
5764,Basic Materials,CROWNIA HOLDINGS LTD,CNH.H,CA2286981063,CNH.H
5765,Financial,TOKEN CORP,1766,JP3590900001,1766
5766,Industrial,CRRC CORP LTD - H,1766,CNE100000BG0,1766
5767,,CRUISECAM INTL INC.,CCINT,US22878U5020,CCINT
5768,,"DEFIANCE HOTEL, AIRLINE, CRU",CRUZ,US26922B8735,CRUZ
5769,Basic Materials,CRUZ BATTERY METALS CORP,CRUZ,CA22888A1084,CRUZ
5770,Industrial,CRYOPORT INC,SCM,US2290503075,CYRX
5771,"Consumer, Non-cyclical",CRYPTO CO/THE,CRCW,US22906C1027,CRCW
5772,"Consumer, Cyclical",CRYSTAL INTERNATIONAL GROUP,2232,KYG2701R1011,2232
5773,,CORNERSTONE STRATEGIC VALUE,CLM,US21924B3024,CLM
5774,Financial,CRYSTAL PROPERTIES HOLDINGS,CPHG,US22938P1057,CPHG
5775,Financial,CRYSTAL VALLEY FINANCIAL CP,CURRENT,US22941P1003,CYVF
5776,Basic Materials,CRYSTALLEX INTL CORP,KRY,CA22942F1018,KRY
5777,Industrial,CS GROUP SA,SX,FR0007317813,SX
5778,Basic Materials,ST-GEORGES ECO-MINING CORP,SX,CA85235Q1000,SX
5779,Financial,CSB BANCORP INC,CURRENT,US12628R1077,CSBB
5780,Technology,CSE GLOBAL LTD,544,SG1G47869290,544
5781,"Consumer, Cyclical",DAIDO GROUP LTD,544,BMG2619Y1315,544
5782,Industrial,CSG HOLDING CO LTD- A,000012,CNE0000002R2,000012
5783,"Consumer, Non-cyclical",CSL LIMITED,CSLN,AU000000CSL8,CSLN
5784,Industrial,TEKKEN CORP,1815,JP3545600003,1815
5785,"Consumer, Cyclical",CSMALL GROUP LTD,1815,KYG2582R1056,1815
5786,"Consumer, Non-cyclical",CSPC PHARMACEUTICAL GROUP LT,1093,HK1093012172,1093
5787,Industrial,CSR LIMITED,CSR,AU000000CSR5,CSR
5788,Financial,CENTERSPACE,CSR,US15202L1070,CSR
5789,Financial,CASPAR ASSET MANAGEMENT SA,CSR,PLCSPAM00017,CSR
5790,Technology,CSRA INC,CSRA,US12650T1043,CSRA
5791,Basic Materials,CASTILE RESOURCES LTD,CST,AU0000070419,CST
5792,"Consumer, Cyclical",CST BRANDS INC,CST,US12646R1059,CST
5793,,LYXOR EURSTX600 CNSTR&MAT,ETF,LU1834983808,CST
5794,"Consumer, Non-cyclical",CSTONE PHARMACEUTICALS,2616,KYG2588M1006,2616
5795,Industrial,CSW INDUSTRIALS INC,NMS,US1264021064,CSWI
5796,Industrial,CSX CORP,NMS,US1264081035,CSX
5797,Financial,CREDIT SUISSE GROUP AG-REG,EUSTARS,CH0012138530,CSX
5798,Industrial,CLEAN SEED CAPITAL GROUP LTD,CSX,CA18451F1027,CSX
5799,Industrial,CLEANSPACE HOLDINGS LTD,CSX,AU0000107831,CSX
5800,Communications,CTC MEDIA INC,CTCM,US12642X1063,CTCM
5801,,NF TPX-17 RAW MATL&CHEMICALS,1620,JP3046590000,1620
5802,Communications,CINESE INTERNATIONAL GROUP H,1620,KYG258821043,1620
5803,"Consumer, Non-cyclical",CTI BIOPHARMA CORP,SCM,US12648L6011,CTIC
5804,"Consumer, Non-cyclical",CTI ENGINEERING CO LTD,9621,JP3281900005,9621
5805,Communications,CTL 6 3/4 06/15/57 PFD,CTDD,US74913G8731,CTDD
5806,"Consumer, Non-cyclical",CTPARTNERS EXECUTIVE SEARCH,CTPR,US22945C1053,CTPR
5807,"Consumer, Non-cyclical",CTR INVESTMENTS & CONSULTING,CURRENT,US1264532086,CIVX
5808,"Consumer, Cyclical",CTS CO LTD,4345,JP3346970001,4345
5809,"Consumer, Cyclical",CTS EVENTIM AG & CO KGAA,XETRA,DE0005470306,EVD
5810,,NKAM-STRAMSCI CH ELC ETF-SGD,EVD,SGXC85425921,EVD
5811,Financial,CU BANCORP,CUNB,US1265341065,CUNB
5812,Energy,CUB ENERGY INC,KUB,CA22944T1093,KUB
5813,"Consumer, Non-cyclical",CUBA BEVERAGE CO,LIMITED,US1265241075,CUBV
5814,Technology,CUBE SYSTEM INC,2335,JP3244950006,2335
5815,Basic Materials,CUBEX TUBINGS LIMITED,CUBEXTUB,INE144D01012,CUBEXTUB
5816,Energy,CUE ENERGY RESOURCES LIMITED,CUE,AU000000CUE9,CUE
5817,"Consumer, Non-cyclical",CUE BIOPHARMA INC,SCM,US22978P1066,CUE
5818,Financial,CUENTAS INC,SCM,US2297942011,CUEN
5819,"Consumer, Non-cyclical",CUISINE SOLUTIONS INC,NOINFO,US2299042067,CUSI
5820,Basic Materials,CULLEN RESOURCES LIMITED,CUL,AU000000CUL4,CUL
5821,Financial,CULLEN/FROST BANKERS INC,CFR,US2298991090,CFR
5822,"Consumer, Cyclical",CIE FINANCIERE RICHEMO-A REG,CFR,CH0210483332,CFR
5823,"Consumer, Cyclical",FINANCIERE RICHEMONT-DEP REC,CFR,CH0045159024,CFR
5824,Financial,CULLMAN BANCORP INC/MD,SCM,US2301531081,CULL
5825,"Consumer, Cyclical",CULP INC,CULP,US2302151053,CULP
5826,"Consumer, Cyclical",CULTURAL INVESTMENT HOLDIN-A,600715,CNE000000KY5,600715
5827,"Consumer, Non-cyclical",CUMBERLAND PHARMACEUTICALS,NMS,US2307701092,CPIX
5828,"Consumer, Cyclical",CUMMINS INC,CMI,US2310211063,CMI
5829,Communications,C-COM SATELLITE SYSTEMS INC,CMI,CA1250091008,CMI
5830,"Consumer, Non-cyclical",CM INTERNATIONAL,CMI,PLCMINT00013,CMI
5831,Industrial,CUMMINS INDIA LTD,CUMMINSIN,INE298A01020,CUMMINSIN
5832,Communications,CUMULUS MEDIA INC-CL A,NMS,US2310828015,CMLS
5833,"Consumer, Non-cyclical",CUPID LTD,CUPID,INE509F01011,CUPID
5834,"Consumer, Cyclical",CURAEGIS TECHNOLOGIES INC,NOINFO,US23127Q1022,CRGS
5835,"Consumer, Non-cyclical",CURALEAF HOLDINGS INC,CURA,CA23126M1023,CURA
5836,"Consumer, Non-cyclical",CURASAN AG,XETRA,DE000A2YPGM4,CURK
5837,"Consumer, Non-cyclical",CURATIVE BIOSCIENCES INC,NOINFO,US23127M1018,CBDX
5838,,HAN MED CANNABIS UCITS ETF,EUET,IE00BG5J1M21,CBDX
5839,"Consumer, Non-cyclical",CURE PHARMACEUTICAL HOLDING,CURRENT,US23127P1049,CURR
5840,,DRX DLY HEALTHCARE BULL 3X,CURE,US25459Y8764,CURE
5841,,ETFS S&P BIOTECH ETF,CURE,AU0000028110,CURE
5842,"Consumer, Non-cyclical",BIOCURE TECHNOLOGY INC,CURE,CA09075T1075,CURE
5843,"Consumer, Non-cyclical",CURIS INC,NMS,US2312692005,CRIS
5844,Financial,CURO GROUP HOLDINGS CORP,CURO,US23131L1070,CURO
5845,Financial,CURRENCY EXCHANGE INTERNATIO,CXI,US23131B3078,CXI
5846,Industrial,CURRENT WATER TECHNOLOGIES I,WATR,CA23131M1059,WATR
5847,Basic Materials,CURRIE ROSE RESOURCES,CUI,CA2319005070,CUI
5848,Financial,CURTIS BANKS GROUP PLC,AMSM,GB00BW0D4R71,CBP
5849,Technology,CERTIVE SOLUTIONS INC,CBP,CA15707X1015,CBP
5850,"Consumer, Cyclical",CURTISS MOTORCYCLES CO INC,LIMITED,US2315551034,CMOT
5851,Industrial,CURTISS-WRIGHT CORP,CW,US2315611010,CW
5852,,CUSHING ENERGY INCOME FUND/T,SRF.USD,US23162T1025,SRF.USD
5853,Financial,CUSTODIAN REIT PLC,SSMM,GB00BJFLFT45,CREI
5854,Energy,CUSTOM DESIGNED COMPRESSOR S,NOINFO,US23202P2011,CPYJ
5855,Financial,CUSTOMERS BANCORP INC,CUBI,US23204G1004,CUBI
5856,"Consumer, Non-cyclical",CUTERA INC,NMS,US2321091082,CUTR
5857,Communications,CV CHECK LTD,CV1,AU000000CV19,CV1
5858,Financial,CV HOLDINGS INC,LIMITED,US12661F1012,CVHL
5859,"Consumer, Non-cyclical",CV SCIENCES INC,CVSI,US1266541028,CVSI
5860,Financial,CVB FINANCIAL CORP,NMS,US1266001056,CVBF
5861,Energy,CVR ENERGY INC,CVI,US12662P1084,CVI
5862,Energy,CVI ENERGY CORP LTD,CVI,AU000000CVI8,CVI
5863,"Consumer, Non-cyclical",CVR MEDICAL CORP,CVM,CA1266321084,CVM
5864,"Consumer, Non-cyclical",CEL-SCI CORP,CVM,US1508376076,CVM
5865,"Consumer, Cyclical",CVS BAY AREA INC,2687,JP3346250008,2687
5866,"Consumer, Non-cyclical",CVS GROUP PLC,AMSM,GB00B2863827,CVSG
5867,"Consumer, Non-cyclical",CVS HEALTH CORP,CVS,US1266501006,CVS
5868,,LISTED INDEX FUND CHINA A SH,1322,JP3046760009,1322
5869,"Consumer, Cyclical",CWT INTERNATIONAL LTD,521,HK0521001989,521
5870,Communications,CX NETWORK GROUP INC,CURRENT,US12672T1088,CXKJ
5871,"Consumer, Non-cyclical",CYANOTECH CORP,SCM,US2324373016,CYAN
5872,Technology,CYBER COM CO LTD,3852,JP3311510006,3852
5873,Communications,CYBER MEDIA INDIA LTD,CYBERMEDI,INE278G01037,CYBERMEDI
5874,Technology,CYBER OPERATIONS INC,CYPJ,US23245E1064,CYPJ
5875,Technology,CYBER SECURITY 1 AB,CYB1,SE0007604061,CYB1
5876,Communications,CYBERAGENT INC,4751,JP3311400000,4751
5877,Technology,CYBERARK SOFTWARE LTD/ISRAEL,NMS,IL0011334468,CYBR
5878,,EVOLVE CYBER SECURITY INDEX,CYBR,CA30051R1055,CYBR
5879,,RIZE CYBERSECURITY UCITS ETF,ETFS,IE00BJXRZJ40,CYBR
5880,"Consumer, Non-cyclical",CYBERDYNE INC,7779,JP3311530004,7779
5881,Technology,CYBERFORT SOFTWARE INC,NOINFO,US23249C2052,CYBF
5882,Financial,CYBERGY HOLDINGS INC,CYBG,US23248X1019,CYBG
5883,"Consumer, Non-cyclical",CYBERLINKS CO LTD,3683,JP3311540003,3683
5884,Industrial,GREAT HARVEST MAETA HOLDINGS,3683,KYG4163E1070,3683
5885,Communications,CYBERNAUT INTERNATIONAL HOLD,1020,KYG2606Y1026,1020
5886,Technology,CYBERNET SYSTEMS CO,4312,JP3311570000,4312
5887,Industrial,CYBEROPTICS CORP,NMS,US2325171021,CYBE
5888,,ISHARES CHINA CNY BOND EURHA,CYBE,IE00BKT6VQ12,CYBE
5889,Technology,CYBERTECH SYSTEMS & SOFTWARE,CYBERTECH,INE214A01019,CYBERTECH
5890,Communications,CYBOZU INC,4776,JP3312100005,4776
5891,"Consumer, Non-cyclical",CYCLACEL PHARMACEUTICALS INC CNV EXCH 6.0% PFD,SCM,US23254L2079,CYCCP
5892,"Consumer, Non-cyclical",CYCLERION THERAPEUTICS INC,NMS,US23255M1053,CYCN
5893,Energy,CYCLIQ GROUP LTD,CYQ,AU000000CYQ5,CYQ
5894,Industrial,CYCLONE POWER TECHNOLOGIES,CYPW,US23254W1045,CYPW
5895,"Consumer, Non-cyclical",CYCLOPHARM LTD,CYC,AU000000CYC5,CYC
5896,"Consumer, Cyclical",JARDINE CYCLE & CARRIAGE LTD,CYC,SG1B51001017,CYC
5897,,ICBC CSOP FTSE CH GOV BD ETF,CYC,SGXC34971074,CYC
5898,Communications,OZON HOLDINGS PLC - ADR,NMS,US69269L1044,OZON
5899,Basic Materials,CYGNUS GOLD LTD,CY5,AU000000CY57,CY5
5900,Industrial,CYIENT LTD,CYIENT,INE136B01020,CYIENT
5901,"Consumer, Non-cyclical",CYMABAY THERAPEUTICS INC,NMS,US23257D1037,CBAY
5902,Industrial,CYMAT TECHNOLOGIES LTD,CYM,CA23257A2083,CYM
5903,Basic Materials,CYPRIUM METALS LTD,CYM,AU0000050536,CYM
5904,,WISDOMTREE CHINESE YUAN STRA,CYB,US97717W1826,CYB
5905,,CYMBRIA CORP-A,CYB,CA23257X1096,CYB
5906,Technology,CYBERARK SOFTWARE LTD/ISRAEL,CYB,IL0011334468,CYB
5907,,ICBC CSOP FTSE CH GOV BD ETF,CYB,SGXC34971074,CYB
5908,"Consumer, Non-cyclical",CYNATA THERAPEUTICS LTD,CYP,AU000000CYP7,CYP
5909,Basic Materials,CYPRESS DEVELOPMENT CORP,CYP,CA2327492005,CYP
5910,Technology,CYPRESS SEMICONDUCTOR CORP,CYP,US2328061096,CYP
5911,Communications,CYNK TECHNOLOGY CORP,CYNK,US23258A1088,CYNK
5912,Financial,CYPHERPUNK HOLDINGS INC,HODL,CA2326621067,HODL
5913,,21SHARES CRYPTO BASKET ETP,HODL,CH0445689208,HODL
5914,Technology,CYREN LTD,SCM,IL0010832371,CYRN
5915,"Consumer, Non-cyclical",CYTEIR THERAPEUTICS INC,NMS,US23284P1030,CYT
5916,"Consumer, Non-cyclical",CYTODYN INC,LIMITED,US23283M1018,CYDY
5917,"Consumer, Non-cyclical",CYTOKINETICS INC,NMS,US23282W6057,CYTK
5918,"Consumer, Non-cyclical",CYTOMX THERAPEUTICS INC,NMS,US23284F1057,CTMX
5919,"Consumer, Non-cyclical",CYTOSORBENTS CORP,SCM,US23283X2062,CTSO
5920,"Consumer, Non-cyclical",CYTRX CORP,CYTR,US2328286081,CYTR
5921,Communications,CYTTA CORP,CURRENT,US12673W4078,CYCA
5922,"Consumer, Cyclical",D MECATRONICS INC,DMTA,US2332792074,DMTA
5923,"Consumer, Cyclical",DR HORTON INC,DHI,US23331A1097,DHI
5924,Communications,D.A.CONSORTIUM HOLDINGS INC,6534,JP3548780000,6534
5925,,SIMPLEX NKY225 BEAR -1X ETF,1580,JP3047590009,1580
5926,Industrial,DA SEN HOLDINGS GROUP LTD,1580,KYG2659Y1089,1580
5927,"Consumer, Non-cyclical",DABUR INDIA LIMITED,DABUR,INE016A01026,DABUR
5928,Technology,KNOWLEDGESUITE INC,3999,JP3652100003,3999
5929,"Consumer, Non-cyclical",DACHAN FOOD ASIA LTD,3999,KYG261441086,3999
5930,Technology,DATACOLOR AG-REG,DCN,CH0008531045,DCN
5931,Basic Materials,DACIAN GOLD LTD,DCN,AU000000DCN6,DCN
5932,Financial,DACOTAH BANKS INC,PREMQX,US2334221049,DBIN
5933,"Consumer, Non-cyclical",DADI EDUCATION HOLDINGS LTD,8417,KYG2616M1069,8417
5934,"Consumer, Cyclical",SANGETSU CORP,8130,JP3330000005,8130
5935,Communications,DADI INTERNATIONAL GROUP LTD,8130,BMG2617D1056,8130
5936,Financial,DAEJAN HOLDINGS PLC,DJANL,GB0002502036,DJANL
5937,Industrial,DAETWYLER HOLDING AG-BR,DAE,CH0030486770,DAE
5938,Financial,DAFA PROPERTIES GROUP LIMITED,6111,KYG261681079,6111
5939,Financial,DAH SING BANKING GROUP LTD,2356,HK2356013600,2356
5940,Financial,DAH SING FINANCIAL HOLDINGS,440,HK0440001847,440
5941,Diversified,DAHU AQUACULTURE CO LTD -A,600257,CNE0000012Z4,600257
5942,"Consumer, Non-cyclical",DAI NIPPON PRINTING CO LTD,7912,JP3493800001,7912
5943,Industrial,DAI-DAN CO LTD,1980,JP3486000007,1980
5944,Communications,TIAN GE INTERACTIVE HOLDINGS,1980,KYG887641085,1980
5945,Financial,DAI-ICHI LIFE HOLDINGS INC,8750,JP3476480003,8750
5946,Financial,DAIBIRU CORP,8806,JP3497200000,8806
5947,Basic Materials,DAICEL CORP,4202,JP3485800001,4202
5948,Basic Materials,DAIDO METAL CO LTD,7245,JP3491800003,7245
5949,Basic Materials,DAIDO STEEL CO LTD,5471,JP3491000000,5471
5950,Industrial,DAIFUKU CO LTD,6383,JP3497400006,6383
5951,Industrial,DAIHEN CORP,6622,JP3497800007,6622
5952,"Consumer, Non-cyclical",ZHAOKE OPHTHALMOLOGY LIMITED,6622,KYG989M51017,6622
5953,Industrial,DAIICHI JITSUGYO CO LTD,8059,JP3475800003,8059
5954,Industrial,GLORY FLAME HOLDINGS LTD,8059,KYG394011079,8059
5955,"Consumer, Non-cyclical",DAIICHI SANKYO CO LTD,4568,JP3475350009,4568
5956,"Consumer, Cyclical",DAIICHIKOSHO CO LTD,7458,JP3475200006,7458
5957,Industrial,DAIKEN CO LTD,5900,JP3482400003,5900
5958,"Consumer, Non-cyclical",DAIKEN MEDICAL CO LTD,7775,JP3482500000,7775
5959,Industrial,DAIKI AXIS CO LTD,4245,JP3480590003,4245
5960,Industrial,DAIKIN INDUSTRIES LTD,6367,JP3481800005,6367
5961,Financial,DAIKOKUYA HOLDINGS CO LTD,6993,JP3926000005,6993
5962,"Consumer, Non-cyclical",BLUE MOON GROUP HOLDINGS LIMITED,6993,KYG1193D1097,6993
5963,"Consumer, Cyclical",DAIKYONISHIKAWA CORP,4246,JP3481300006,4246
5964,Technology,DAILY JOURNAL CORP,SCM,US2339121046,DJCO
5965,Communications,DAILY MAIL&GENERAL TST-A NV,DMGT,GB00BJQZC279,DMGT
5966,"Consumer, Cyclical",DAIMARUENAWIN CO LTD,9818,JP3499200008,9818
5967,Basic Materials,DAINICHISEIKA COLOR & CHEM,4116,JP3492200005,4116
5968,Basic Materials,DAIO PAPER CORP,3880,JP3440400004,3880
5969,Industrial,DECMIL GROUP LTD,DCG,AU000000DCG0,DCG
5970,,DESJARDINS 1-5 YR LAT GOV BD,DCG,CA25058L1013,DCG
5971,"Consumer, Non-cyclical",DAIRY CREST GROUP PLC,DCG,GB0002502812,DCG
5972,"Consumer, Non-cyclical",DFI RETAIL GROUP HOLDINGS LT,D01,BMG2624N1535,D01
5973,Industrial,DAISEKI ECO. SOLUTION CO LTD,1712,JP3485700003,1712
5974,Basic Materials,DRAGON MINING LTD,1712,AU000000DRA1,1712
5975,Financial,DAISHI BANK LTD/THE,8324,JP3483800003,8324
5976,"Consumer, Cyclical",DAISYO CORP,9979,JP3484000009,9979
5977,Industrial,GREENTOWN MANAGEMENT HOLDING,9979,KYG4102M1033,9979
5978,Financial,DAITO BANK LTD/THE,8563,JP3486700002,8563
5979,Financial,DAITO TRUST CONSTRUCT CO LTD,1878,JP3486800000,1878
5980,Energy,SOUTHGOBI RESOURCES LTD,1878,CA8443751059,1878
5981,,DAIWA ETF-TOPIX,1305,JP3027620008,1305
5982,Industrial,WAI CHI HOLDINGS CO LTD,1305,KYG9427Y1044,1305
5983,"Consumer, Cyclical",DAIWA HOUSE INDUSTRY CO LTD,1925,JP3505000004,1925
5984,"Consumer, Cyclical",KWUNG'S HOLDINGS LIMITED,1925,KYG5331A1094,1925
